clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1527319984,5328640,4475352,3,232,3308,0.2100,0.1200,0.1700,6077,73.3199,0.0000,0.2016,0.0168,7.3290,0.0000,5.4567,13.6280,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0516,79680208896,6765805568,408983552,87.2071,494512128,59996160,91.0519,79680208896,6765568000,68843282432,91.0517,79680208896,6765727744,68843360256,91.0518,79680208896,6765649920,7597572096,8371621888,1,0,0,0
1527319989,5319776,4954064,2,232,3329,0.1700,0.1200,0.1700,5894,73.2717,0.0000,0.2186,0.0000,7.2941,0.0000,5.4518,13.7548,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0511,79680208896,6766206976,408983552,87.2071,494512128,59996160,91.0514,79680208896,6765936640,68842901504,91.0512,79680208896,6766108672,68842987520,91.0513,79680208896,6766022656,7597506560,8371621888,1,0,0,0
1527319994,5296192,4426168,2,232,3488,0.1600,0.1200,0.1700,6198,73.2392,0.0000,0.2017,0.0000,7.3470,0.0000,5.4304,13.9496,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0506,79680208896,6766518272,408983552,87.2071,494512128,59996160,91.0509,79680208896,6766358528,68842491904,91.0506,79680208896,6766518272,68842582016,91.0508,79680208896,6766428160,7597273088,8371621888,1,0,0,0
1527319999,5289312,4474472,5,232,3428,0.1600,0.1200,0.1800,5665,72.9993,0.0000,0.2017,0.0000,7.3142,0.0000,5.5163,13.7693,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0501,79680208896,6766911488,408983552,87.2071,494512128,59996160,91.0504,79680208896,6766673920,68842180608,91.0502,79680208896,6766829568,68842254336,91.0503,79680208896,6766755840,7597039616,8371621888,1,0,0,0
1527320004,5256104,4422896,2,232,3335,0.2300,0.1300,0.1800,6286,72.9866,0.0000,0.2011,0.0000,7.2016,0.0000,5.6506,13.8763,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0496,79680208896,6767308800,408983552,87.2071,494512128,59996160,91.0499,79680208896,6767071232,68841787392,91.0497,79680208896,6767222784,68841861120,91.0498,79680208896,6767149056,7597076480,8371621888,1,0,0,0
1527320009,5275824,4429248,3,232,3356,0.2100,0.1300,0.2100,5665,73.0750,0.0000,0.2350,0.0000,7.1884,0.0000,5.4576,13.8828,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0491,79680208896,6767697920,408983552,87.2071,494512128,59996160,91.0494,79680208896,6767460352,68841390080,91.0492,79680208896,6767620096,68841467904,91.0493,79680208896,6767542272,7597289472,8371621888,1,0,0,0
1527320014,5269496,4448560,2,232,3317,0.3500,0.1400,0.2500,6201,73.2248,0.0000,0.2347,0.0000,7.2685,0.0000,5.5323,13.9313,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0486,79680208896,6768091136,408983552,87.2071,494512128,59996160,91.0489,79680208896,6767857664,68840996864,91.0487,79680208896,6768013312,68841074688,91.0488,79680208896,6767935488,7596736512,8371621888,1,0,0,0
1527320019,5243704,4408360,2,232,3371,0.5700,0.1500,0.2500,5708,73.0042,0.0000,0.2343,0.0000,7.3783,0.0000,5.5063,13.9582,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0480,79680208896,6768504832,408983552,87.2071,494512128,59996160,91.0483,79680208896,6768263168,68840583168,91.0481,79680208896,6768427008,68840660992,91.0482,79680208896,6768349184,7597056000,8371621888,1,0,0,0
1527320024,5304792,4418960,2,232,3275,0.5200,0.1500,0.2500,6202,73.0743,0.0000,0.2340,0.0000,7.4099,0.0000,5.4840,13.9539,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0475,79680208896,6768893952,408983552,87.2071,494512128,59996160,91.0478,79680208896,6768664576,68840194048,91.0476,79680208896,6768816128,68840267776,91.0477,79680208896,6768742400,7596548096,8371621888,1,0,0,0
1527320029,5236440,4465328,2,232,3428,0.4400,0.1500,0.2400,5843,72.9048,0.0000,0.2503,0.0000,7.4278,0.0000,5.4248,14.1165,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0470,79680208896,6769291264,408983552,87.2071,494512128,59996160,91.0473,79680208896,6769053696,68839792640,91.0471,79680208896,6769217536,68839878656,91.0472,79680208896,6769131520,7596679168,8371621888,1,0,0,0
